LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Abrahams,Edward R.,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Agusta,Howard,,,,,,"Smiling Hate,Children of Fate",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Alexander,Chester A.,,,,,,Body and Soul,,,,,,,
Alger,Paul K.,,,,Adapted Smiling Hate (Richards).,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Smiling Hate
Allen,Anna Lou,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Anderson,Charles H.,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Anderson,Mrs. Charles H.,,,,,,Uncle Remus' First Visit to New York,,,,,,,
Angerson,Ida,,,,,,The Secret Sorrow,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Armour,Jean,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Arnold,Sam,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Austin,Jack,,,,,,The Green-Eyed Monster,,,,Oscar Micheaux and His Circle,,,
Baker,William,,,,,,"The Wages of Sin,The Sea Beast",,,,,,,
Bell,Spencer,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Birdsong,Sylvia,,,,,,"The Wages of Sin,The Witching Eyes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Bishop,Andrew S.,,,,,,"Temptation,A Son of Satan,The House Behind the Cedars",,,,Slow Fade to Black,,,
Bock,Leo,,,,,,,,,Making Negro Lives Count,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Bowen,Henderson,,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,
Bowser,Aubrey,,,,"The Call of His People is based on Bowser's novel, per Peterson. --MP",,,,,,,,,The Call of His People
Boyd,Kathryn,,,,,,"The Flying Ace,Black Gold",,,,,,,
Boyer,Elizabeth,,,,,,"The Sport of the Gods,Shuffling Jane",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Brogsdale,Walter,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brooks,Clarence,,,,,,"The Realization of a Negro's Ambition,A Man's Duty,Absent,By Right of Birth,Arrowsmith,The Law of Nature",,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,Lincoln Motion Picture Company,
Broome,George,,,,,,,A Trip to Tuskegee,A Trip to Tuskegee,,,,,
Brown,Kid,,,,,,"The Grafter and the Girl,The Railroad Porter",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Brown,George Edward,,,,,,"The Sport of the Gods,The Call of His People,The Secret Sorrow,Spitfire,The Schemers",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Brown,Lucille,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Brown,J.C.,,,,"Per Peterson, author of story on which The Secret Story is based. --MP",,,,,,,,,The Secret Sorrow
Brown,J. Rufus,,,,Author of the story on which Easy Money is based (Peterson). --MP,,,,,,,,,Easy Money
Brown,Tom,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brown ,R.L.,,,,,,"The Flying Ace,The Green-Eyed Monster,Regeneration,Black Gold",,,,,,,
Burris,Jim,,,,,,"The Sport of the Gods,The Symbol of the Unconquered",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Burton-Hyman,Marie,,,,,,The Grafter and the Girl,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Burwell,Myra,,,,,,"Ten Nights in a Barrooom,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Bush,Anita,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,
Calnek,Roy,,,,,,,"Hearts of the Woods,Ten Nights in a Barrooom,A Prince of His Race,Ten Nights in a Bar-Room ",Smiling Hate,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","A Prince of His Race,Ten Nights in a Barrooom",,
Carter,Barrington,Harington Garter,,,,,Thirty Years Later,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
